symbol,year,company,legal_reserve,exchange,approved_date,restatement,integrative,current_liabilities,noncurrent_liabilities,shareholders_equity,approved_shareholders_equity,current_assets,noncurrent_assets,total_liabilities,total_liabilities_plus_shareholders_equity,total_assets,audited,public_rights,net_fixed_assets,fiscal_year,other_reserves,capital,investments_and_other_assets,retained_earnings,type
ورازی,1388,بیمه رازی,25443.0,,13890428,خیر,خیر,1049361.0,13.0,412533.0,,1269484.0,462201.0,1319152.0,1731685.0,1731685.0,بلی,,,13881229,,280000.0,201386.0,85824.0,*12ماهه
ورازی,1389,بیمه رازی,26208.0,,13900428,خیر,خیر,1281842.0,,345151.0,,679338.0,951102.0,1285289.0,1630440.0,1630440.0,بلی,,,13891229,,280000.0,613645.0,16146.0,*12ماهه
ورازی,1390,بیمه رازی,28000.0,,13911201,بلی,خیر,1490752.0,,791148.0,,1245482.0,1091061.0,1545395.0,2336543.0,2336543.0,خیر,,,13901229,,280000.0,292264.0,54951.0,*12ماهه
ورازی,1391,بیمه رازی,28000.0,,13920905,بلی,خیر,1754706.0,,683004.0,625852.0,1424973.0,1036304.0,1796776.0,2479780.0,2479780.0,خیر,,,13911229,,280000.0,265797.0,-368.0,*12ماهه
ورازی,1392,بیمه رازی,62585.0,,13930915,بلی,خیر,2674231.0,,1951901.0,,3042927.0,1603592.0,2694618.0,4646519.0,4646519.0,خیر,,,13921229,,625852.0,250167.0,-45536.0,*12ماهه
ورازی,1393,بیمه رازی,62585.0,,13941026,بلی,خیر,4367853.0,,2259177.0,,4056865.0,2608873.0,4406561.0,6665738.0,6665738.0,خیر,,,13931229,,625852.0,250167.0,107949.0,*12ماهه
ورازی,1394,بیمه رازی,104620.0,,13951027,بلی,خیر,6395875.0,,2464588.0,,7568860.0,1343576.0,6447848.0,8912436.0,8912436.0,خیر,,,13941229,,2000000.0,214130.0,169869.0,*12ماهه
ورازی,1395,بیمه رازی,113895.0,,13961109,بلی,خیر,7544619.0,,2276927.0,,7948163.0,1974445.0,7645681.0,9922608.0,9922608.0,خیر,,,13951229,,2000000.0,259435.0,-45617.0,*12ماهه
ورازی,1396,بیمه رازی,113896.0,فرابورس,13971030,بلی,خیر,10508432.0,,2143770.0,,11081795.0,1702709.0,10640734.0,12784504.0,12784504.0,خیر,,,13961229,,2000000.0,228735.0,-178796.0,*12ماهه
ورازی,1397,بیمه رازی,113896.0,فرابورس,13980523,خیر,خیر,15335527.0,17604.0,1948387.0,,16392836.0,1114088.0,15558537.0,17506924.0,17506924.0,خیر,,,13971229,,2000000.0,219229.0,-374180.0,*12ماهه
ورنا,1372,سر. رنا,400.0,,13730631,,-,3802.0,6.0,6839.0,6839.0,9827.0,869.0,3807.0,10647.0,10647.0,-,,133.0,13730231,192.0,4000.0,687.0,2247.0,مجمع
ورنا,1373,سر. رنا,400.0,,13740631,,-,4223.0,14.0,7423.0,7423.0,10559.0,1184.0,4238.0,11661.0,11661.0,-,,480.0,13740231,192.0,4000.0,623.0,2832.0,مجمع
ورنا,1374,سر. رنا,1200.0,,13750629,,-,16589.0,26.0,10230.0,18230.0,25715.0,1250.0,16615.0,26845.0,26845.0,-,,546.0,13750231,277.0,4000.0,584.0,4754.0,مجمع
ورنا,1375,سر. رنا,4000.0,,13760626,,-,53802.0,58.0,44605.0,84605.0,68916.0,29550.0,53861.0,98466.0,98466.0,-,,1193.0,13760231,192.0,40000.0,28357.0,413.0,مجمع
ورنا,1376,سر. رنا,11108.0,,13770628,,-,275621.0,26243.0,164694.0,137930.0,310970.0,155588.0,301864.0,485791.0,466558.0,-,,70721.0,13770231,26199.0,120000.0,84866.0,7387.0,مجمع
ورنا,1377,سر. رنا,14300.0,,13780628,,-,82068.0,7497.0,196442.0,201134.0,64283.0,221724.0,89564.0,293310.0,286007.0,-,,1199.0,13780231,192.0,180000.0,220525.0,1951.0,مجمع
ورنا,1378,سر. رنا,21300.0,,13790628,,-,179208.0,38215.0,292705.0,305902.0,155852.0,354276.0,217422.0,548027.0,510128.0,-,,1134.0,13790231,192.0,270000.0,353142.0,1213.0,مجمع
